Time;Value
1990;12.58
1991;8.50
1992;5.75
1993;4.75
1994;7.05
1995;7.50
1996;6.18
1997;5.00
1998;4.76
1999;5.00
2000;6.25
2001;4.28
2002;4.75
2003;5.23
2004;5.25
2005;5.50
2006;6.25
2007;6.75
2008;4.35
2009;3.74
2010;4.75
2011;4.30
2012;3.03
2013;2.50
2014;2.50
2015;2.00
2016;1.50
2017;1.50
2018;1.50
2019;0.75
2020;0.10
2021;0.10
2022;3.05
